J,alpha,target,phi_E1,phi_E0,method,source,total_n,fwer,min_g1,mean_g1,min_g2
3,0.1,0.8,0.6,0.4,ROED-B,local exact engine,184,0.09577959929662283,0.8000970586147357,0.8656112235784932,0.8319352656479162
3,0.1,0.8,0.6,0.4,ROED,local exact engine,183,0.09746505834707919,0.809863255261866,0.8684038777260239,0.8590845310938868
3,0.1,0.9,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",258,0.06009,0.9011,0.938767,0.95917
3,0.1,0.9,0.6,0.4,Tabata,local exact engine,258,0.06877542785327317,0.9034101847118652,0.9332334668444974,0.9460423979516466
3,0.1,0.9,0.6,0.4,ROED-EA,local exact engine,249,0.09393835785301408,0.9000135048711929,0.9337910517613552,0.9296722402601778
3,0.1,0.9,0.6,0.4,ROED-B,local exact engine,247,0.09655481344788563,0.9016136482167038,0.9335292615084795,0.9371740471062199
3,0.1,0.9,0.6,0.4,ROED,local exact engine,247,0.09655481344788563,0.9016136482167038,0.9335292615084795,0.9371740471062199
4,0.05,0.8,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",260,0.05051,0.80353,0.8672514285714286,0.85118
4,0.05,0.8,0.6,0.4,Tabata,local exact engine,312,0.04380588143879749,0.8183822087318537,0.8792731809709589,0.8386300014550234
4,0.05,0.8,0.6,0.4,ROED-EA,local exact engine,308,0.049834988324490403,0.8080922052165673,0.8752354362866216,0.8316315853725748
4,0.05,0.8,0.6,0.4,ROED-B,local exact engine,298,0.04875287848991405,0.8010799808786804,0.8693472542880628,0.8167769938871319
4,0.05,0.8,0.6,0.4,ROED,local exact engine,296,0.04970127448346762,0.8012172163087107,0.8701926638531743,0.8267142836011159
4,0.05,0.9,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",348,0.04798,0.90222,0.9357592857142857,0.94921
