J,alpha,target,phi_E1,phi_E0,repetition,elapsed_seconds,retained_candidates
4,0.05,0.9,0.6,0.4,8,396.01326320000226,15263
4,0.05,0.9,0.6,0.4,9,391.6757652000524,15263
4,0.05,0.9,0.6,0.4,10,395.69613619998563,15263
4,0.05,0.9,0.6,0.4,11,399.72718410001835,15263
4,0.05,0.9,0.6,0.4,12,400.6279396000318,15263
4,0.05,0.9,0.6,0.4,13,390.5290014000493,15263
4,0.05,0.9,0.6,0.4,14,389.83639269997366,15263
4,0.05,0.9,0.6,0.4,15,395.3009794999962,15263
4,0.05,0.9,0.6,0.4,16,399.1761327999993,15263
4,0.05,0.9,0.6,0.4,17,385.7107371999882,15263
4,0.05,0.9,0.6,0.4,18,391.7747960999841,15263
4,0.05,0.9,0.6,0.4,19,393.71607720002066,15263
4,0.05,0.9,0.6,0.4,20,400.11720140004763,15263
4,0.1,0.8,0.3,0.1,1,767.0188436000026,44990
4,0.1,0.8,0.3,0.1,2,768.6453138000215,44990
4,0.1,0.8,0.3,0.1,3,760.1947432000306,44990
4,0.1,0.8,0.3,0.1,4,814.2572154999943,44990
4,0.1,0.8,0.3,0.1,5,796.7028864999884,44990
4,0.1,0.8,0.3,0.1,6,766.8615073999972,44990
4,0.1,0.8,0.3,0.1,7,765.2051059000078,44990
4,0.1,0.8,0.3,0.1,8,768.516495399992,44990
4,0.1,0.8,0.3,0.1,9,717.1634741000016,44990
4,0.1,0.8,0.3,0.1,10,708.1661471999832,44990
4,0.1,0.8,0.3,0.1,11,705.0592838000157,44990
4,0.1,0.8,0.3,0.1,12,705.0232331000152,44990
4,0.1,0.8,0.3,0.1,13,684.6606055999873,44990
4,0.1,0.8,0.3,0.1,14,689.2401751000434,44990
4,0.1,0.8,0.3,0.1,15,691.4952912000008,44990
4,0.1,0.8,0.3,0.1,16,707.7943799999775,44990
4,0.1,0.8,0.3,0.1,17,688.4661878999905,44990
4,0.1,0.8,0.3,0.1,18,686.7108967000386,44990
4,0.1,0.8,0.3,0.1,19,678.4243122999906,44990
4,0.1,0.8,0.3,0.1,20,714.0804681999725,44990
4,0.1,0.8,0.6,0.4,1,801.9382815000135,34981
4,0.1,0.8,0.6,0.4,2,829.5032047000132,34981
4,0.1,0.8,0.6,0.4,3,879.4597555999644,34981
4,0.1,0.8,0.6,0.4,4,873.6876043000375,34981
4,0.1,0.8,0.6,0.4,5,852.3174649000284,34981
4,0.1,0.8,0.6,0.4,6,895.0911676000105,34981
4,0.1,0.8,0.6,0.4,7,903.8603603999945,34981
4,0.1,0.8,0.6,0.4,8,898.8422144000069,34981
4,0.1,0.8,0.6,0.4,9,888.5757584000239,34981
4,0.1,0.8,0.6,0.4,10,915.2849305000273,34981
4,0.1,0.8,0.6,0.4,11,931.321795900003,34981
4,0.1,0.8,0.6,0.4,12,923.8237350999843,34981
4,0.1,0.8,0.6,0.4,13,922.2354225000017,34981
4,0.1,0.8,0.6,0.4,14,927.5761117000366,34981
4,0.1,0.8,0.6,0.4,15,953.9849845999852,34981
4,0.1,0.8,0.6,0.4,16,950.0836280000512,34981
4,0.1,0.8,0.6,0.4,17,907.9153918999946,34981
4,0.1,0.8,0.6,0.4,18,905.2539100000286,34981
4,0.1,0.8,0.6,0.4,19,931.8942079999833,34981
4,0.1,0.8,0.6,0.4,20,932.254608999996,34981
4,0.1,0.9,0.3,0.1,1,891.7398522000294,32651
4,0.1,0.9,0.3,0.1,2,901.8165053999983,32651
4,0.1,0.9,0.3,0.1,3,900.6477443000185,32651
4,0.1,0.9,0.3,0.1,4,862.4353737999918,32651
4,0.1,0.9,0.3,0.1,5,850.0729590999545,32651
4,0.1,0.9,0.3,0.1,6,882.9953480999684,32651
