J,alpha,target,phi_E1,phi_E0,delta_T,delta_E,min_g1,mean_g1,min_g2,fwer
4,0.1,0.9,0.3,0.1,0.05,0.05,0.5881531433551898,0.7167582507979808,0.5950020100935547,0.0994230110351848
4,0.1,0.9,0.6,0.4,0.0,0.0,0.900918232226979,0.9329198356127577,0.9311573110313985,0.0967227691956335
4,0.1,0.9,0.6,0.4,0.0,0.025,0.8275903368161595,0.8960803214353811,0.852832478577175,0.0967227691956335
4,0.1,0.9,0.6,0.4,0.0,0.05,0.7049997987367042,0.8216065716940968,0.7226376648682757,0.0967227691956335
4,0.1,0.9,0.6,0.4,0.025,0.0,0.8404918616464472,0.8990660614931295,0.8709295280333952,0.0967227691956335
4,0.1,0.9,0.6,0.4,0.025,0.025,0.7837395388706726,0.8607858295498776,0.8052224342315655,0.0967227691956335
4,0.1,0.9,0.6,0.4,0.025,0.05,0.675488935650439,0.7846936763269091,0.6904265423770838,0.0967227691956335
4,0.1,0.9,0.6,0.4,0.05,0.0,0.7176989421459696,0.8182385002447289,0.7378334614534425,0.0967227691956335
4,0.1,0.9,0.6,0.4,0.05,0.025,0.6689641707815266,0.7782608340090166,0.6859261789047778,0.0967227691956335
4,0.1,0.9,0.6,0.4,0.05,0.05,0.5702415716244037,0.701365422589882,0.5821442464182698,0.0967227691956335
