J,alpha,target,phi_E1,phi_E0,rho,min_g1,mean_g1,min_g2,fwer
3,0.05,0.8,0.3,0.1,0.15,0.8020119822748658,0.8657336013092877,0.8112396760197101,0.048102372343553745
3,0.05,0.8,0.3,0.1,0.3,0.8018210243861342,0.8653390190307189,0.8088755302719194,0.048102372343553745
3,0.05,0.8,0.6,0.4,-0.1,0.8097954662214191,0.8728740757774263,0.838330447940246,0.049953225098781306
3,0.05,0.8,0.6,0.4,0.0,0.8082293846544187,0.8718704945515313,0.8356878715466958,0.049953225098781306
3,0.05,0.8,0.6,0.4,0.15,0.8072769257224752,0.8714179822860745,0.8325500560473925,0.049953225098781306
3,0.05,0.8,0.6,0.4,0.3,0.8080546025658857,0.872275254645212,0.8303890622421713,0.049953225098781306
3,0.05,0.9,0.3,0.1,-0.1,0.9024789526038461,0.9355908752649752,0.9199253715413575,0.04935905667428664
3,0.05,0.9,0.3,0.1,0.0,0.9020217995219643,0.9354402172991273,0.9192810025884188,0.04935905667428664
3,0.05,0.9,0.3,0.1,0.15,0.9019302180218816,0.9356926793969794,0.9186297133919665,0.04935905667428664
3,0.05,0.9,0.3,0.1,0.3,0.9026028471084915,0.9365586320336498,0.9182886058336776,0.04935905667428664
3,0.05,0.9,0.6,0.4,-0.1,0.9012878282361461,0.9329334963797313,0.9237692315132967,0.04971131519036687
3,0.05,0.9,0.6,0.4,0.0,0.9009318047347221,0.9328033811841978,0.9230480216746191,0.04971131519036687
3,0.05,0.9,0.6,0.4,0.15,0.9011219421455782,0.9331737619752636,0.9223299997338463,0.04971131519036687
3,0.05,0.9,0.6,0.4,0.3,0.9022217025632844,0.9342701952690554,0.9219678399677177,0.04971131519036687
3,0.1,0.8,0.3,0.1,-0.1,0.8094589335208081,0.8686816215894393,0.8526779678263425,0.09636096479128553
3,0.1,0.8,0.3,0.1,0.0,0.8084738311835737,0.8684971520527283,0.8508601906151236,0.09636096479128553
