J,alpha,target,phi_E1,phi_E0,method,total_n,sample_ratio_to_tabata,power_excess,min_g1,mean_g1,min_g2,source
3,0.05,0.8,0.3,0.1,ROED-EA,177,1.0,0.029198187850957846,0.8291981878509579,0.8860076752424139,0.8495627298427118,local exact engine
3,0.05,0.8,0.3,0.1,ROED-B,169,0.9548022598870056,0.0018210243861341846,0.8018210243861342,0.8663095018142973,0.8088755302719194,local exact engine
3,0.05,0.8,0.3,0.1,ROED,169,0.9548022598870056,0.0018210243861341846,0.8018210243861342,0.8663095018142973,0.8088755302719194,local exact engine
3,0.05,0.8,0.6,0.4,MERIT,195,0.9154929577464789,0.007399999999999962,0.8074,0.872761,0.85512,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
3,0.05,0.8,0.6,0.4,Tabata,213,1.0,0.011603373641302372,0.8116033736413024,0.8723942618008346,0.8303890622421713,local exact engine
3,0.05,0.8,0.6,0.4,ROED-EA,213,1.0,0.011603373641302372,0.8116033736413024,0.8723942618008346,0.8303890622421713,local exact engine
3,0.05,0.8,0.6,0.4,ROED-B,208,0.9765258215962441,0.0002261335221194205,0.8002261335221195,0.8647028860006977,0.8167769938871319,local exact engine
3,0.05,0.8,0.6,0.4,ROED,208,0.9765258215962441,0.008054602565885638,0.8080546025658857,0.8720728745983717,0.8303890622421713,local exact engine
3,0.05,0.9,0.3,0.1,MERIT,201,0.9054054054054054,-0.0016700000000000603,0.89833,0.9367369999999999,0.942,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
3,0.05,0.9,0.3,0.1,Tabata,222,1.0,0.010978655782914237,0.9109786557829143,0.940609968516022,0.9360362750982754,local exact engine
3,0.05,0.9,0.3,0.1,ROED-EA,216,0.972972972972973,0.001095750557484343,0.9010957505574844,0.9371849052053598,0.9142401726764049,local exact engine
3,0.05,0.9,0.3,0.1,ROED-B,211,0.9504504504504504,0.0013558631148369304,0.901355863114837,0.935816176417482,0.9196667891308552,local exact engine
